,mbti,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148
0,ENFJ,"['생동성ㆍ임상시험', 0.4961209731437855]","['의류ㆍ잡화매장', 0.48263102483586656]","['일반영업ㆍ판매', 0.4654072271651879]","['오락실ㆍ게임장', 0.44062932284817435]","['컴퓨터ㆍ정보통신', 0.4350413517784966]","['전시ㆍ컨벤션ㆍ세미나', 0.4054697947178729]","['백화점ㆍ면세점', 0.398823318691759]","['영화ㆍ공연', 0.39750774538327815]","['PC방', 0.38813031510000945]","['문화ㆍ여가ㆍ생활?기타', 0.38813031510000945]","['복합쇼핑몰ㆍ아울렛', 0.37312929730509115]","['실험ㆍ연구보조', 0.363313585965254]","['방문ㆍ학습지', 0.3630235233747376]","['매장관리ㆍ판매', 0.361438400270089]","['전단지배포', 0.3606680053363335]","['조선소', 0.35947898515486626]","['번역ㆍ통역', 0.3592633586402276]","['나레이터모델', 0.3473245021453198]","['미디어 전체', 0.34313001657257486]","['PCㆍ디지털기기?설치ㆍ관리', 0.3399601082227816]","['공인중개', 0.33819708891195455]","['보조교사', 0.3365773171525637]","['고객상담ㆍ인바운드', 0.33496621041470837]","['유통ㆍ판매?기타', 0.33095414677677254]","['반려동물케어', 0.3304537482918639]","['시스템ㆍ네트워크ㆍ보안', 0.3280409722438092]","['포장ㆍ품질검사', 0.3228928836967994]","['조명ㆍ음향', 0.31515579752364875]","['학교ㆍ도서관ㆍ교육기관', 0.3040150504828352]","['스터디룸ㆍ독서실ㆍ고시원', 0.3001549857907114]","['제조ㆍ가공ㆍ조립', 0.29684072279007123]","['병원ㆍ간호ㆍ연구?전체', 0.29462923265754254]","['정비ㆍ수리ㆍ설치ㆍA/S', 0.2895959308681226]","['패스트푸드점', 0.2877300838023028]","['치킨ㆍ피자전문점', 0.2877300838023028]","['편집ㆍ교정ㆍ교열', 0.28524982109344604]","['텔레마케팅ㆍ아웃바운드', 0.2851388526473438]","['뷰티ㆍ헬스스토어', 0.2830540648883427]","['미디어 기타', 0.28199893058009046]","['여행ㆍ캠프ㆍ레포츠', 0.2787423810066086]","['바이럴ㆍSNS마케팅', 0.27870866166455327]","['마케팅ㆍ광고ㆍ홍보', 0.27743427839933643]","['교육ㆍ강사?기타', 0.2722976893508684]","['경리ㆍ회계보조', 0.2722463783764303]","['레스토랑', 0.2721146156738627]","['쇼핑몰ㆍ소셜커머스ㆍ홈쇼핑', 0.2707976055599007]","['피트니스ㆍ스포츠', 0.2669762617260217]","['피트니스?트레이너', 0.2669762617260217]","['판촉도우미', 0.26619279689137776]","['인사ㆍ총무', 0.2625397170609832]","['영업관리ㆍ지원', 0.2625397170609832]","['금융ㆍ보험영업', 0.2559268038402393]","['결혼ㆍ연회ㆍ장례도우미', 0.25443886754911693]","['커피전문점', 0.2534570101048804]","['아이스크림ㆍ디저트', 0.2534570101048804]","['간호조무사ㆍ간호사', 0.2530196999210412]","['공공기관ㆍ공기업ㆍ협회', 0.2516366545398874]","['DVDㆍ멀티방ㆍ만화카페', 0.25096904448574686]","['예체능?강사', 0.2506540672042359]","['수의테크니션ㆍ동물보건사', 0.24748354277051704]","['원무ㆍ코디네이터', 0.24744397238819638]","['입시ㆍ보습학원', 0.24733515748745974]","['외국어ㆍ어학원', 0.24733515748745974]","['자격증ㆍ기술학원', 0.24733515748745974]","['국비교육기관', 0.24733515748745974]","['사무보조', 0.24648141394377954]","['복사ㆍ출력ㆍ제본', 0.24648141394377954]","['유통점ㆍ마트', 0.24479345874574898]","['그래픽ㆍ편집디자인', 0.2419504540037337]","['베이커리ㆍ도넛ㆍ떡', 0.24180972961807512]","['요가ㆍ필라테스?강사', 0.2357355864563688]","['바리스타', 0.23492525095586994]","['골프캐디', 0.23161139920388746]","['방송스텝ㆍ촬영보조', 0.23156133049368274]","['패밀리레스토랑', 0.23016839845399864]","['주방보조ㆍ설거지', 0.22669245790244047]","['서비스?기타', 0.22564425518575926]","['택배ㆍ퀵서비스', 0.22419294656676003]","['사이트ㆍ콘텐츠?운영', 0.2230053390616601]","['배달', 0.22273326262465987]","['피부관리ㆍ마사지', 0.22196739729275475]","['주방장ㆍ조리사', 0.2199845030498335]","['비서', 0.21946567135714887]","['도시락ㆍ반찬', 0.2152904411701301]","['고속도로휴게소', 0.2152904411701301]","['외래보조ㆍ병동보조', 0.21456643719121055]","['일반음식점', 0.20962011170606204]","['휴대폰ㆍ전자기기매장', 0.20927755424172217]","['서점ㆍ문구ㆍ팬시', 0.2070782949052675]","['화물ㆍ중장비ㆍ특수차', 0.20698586086481055]","['패션ㆍ잡화디자인', 0.2055499453286932]","['노래방', 0.2047985185173865]","['볼링ㆍ당구장', 0.2047985185173865]","['스크린?골프ㆍ야구', 0.2047985185173865]","['이색테마카페', 0.2047985185173865]","['레져스포츠?강사', 0.20410336290199088]","['보안ㆍ경비ㆍ경호', 0.2039608993042161]","['수행기사', 0.2001995934957866]","['헤어ㆍ미용ㆍ네일샵', 0.1970064019701435]","['MD', 0.19555075576378472]","['약국', 0.19491134582489977]","['방송사ㆍ프로덕션', 0.19104895105310804]","['급식ㆍ푸드시스템', 0.1901852862214374]","['편의점', 0.1874114792934729]","['간병ㆍ요양보호사', 0.18041495718213288]","['공사ㆍ건설현장', 0.18001211011649101]","['웹ㆍ모바일디자인', 0.17511449369514176]","['QAㆍ테스터ㆍ검증', 0.1747421444667761]","['상하차ㆍ소화물?분류', 0.1725673811878665]","['청소ㆍ미화', 0.1712774770064731]","['안내데스크', 0.16977323766255162]","['HTML코딩', 0.1690191219766281]","['키즈카페', 0.1664665018203724]","['문서작성ㆍ자료조사', 0.16215766476483465]","['입출고ㆍ창고관리', 0.16107460388385209]","['대리운전ㆍ일반운전', 0.1605476573466427]","['농수산ㆍ청과ㆍ축산', 0.15533262269419748]","['PVC(닥트ㆍ배관설치)', 0.1549649631426033]","['주차관리ㆍ주차도우미', 0.15215180227913044]","['신문ㆍ잡지ㆍ출판', 0.15209938657408753]","['찜질방ㆍ사우나ㆍ스파', 0.15041292783414906]","['서빙', 0.15041292783414906]","['가구ㆍ침구ㆍ생활소품', 0.14917944213522255]","['생산ㆍ건설ㆍ노무?기타', 0.1472387016794665]","['보조출연ㆍ방청', 0.14215405455397426]","['놀이공원ㆍ테마파크', 0.14005101848617033]","['기계ㆍ전자ㆍ전기', 0.1369943506906779]","['동영상촬영ㆍ편집', 0.13678133842800017]","['이벤트ㆍ행사스텝', 0.12594898851777073]","['캐셔ㆍ카운터', 0.12487222137395985]","['사진촬영ㆍ편집', 0.11836456467282694]","['제품ㆍ산업디자인', 0.11814712765906166]","['웹ㆍ모바일기획', 0.11537551036575612]","['유아ㆍ유치원', 0.11240949461871812]","['설문조사ㆍ리서치', 0.11180371474547944]","['베이비시터ㆍ가사도우미', 0.10515307346517926]","['호프ㆍ일반주점', 0.10034166316452636]","['택시ㆍ버스운전', 0.09399764604248514]","['화훼ㆍ꽃집', 0.09350916735656203]","['운송ㆍ이사', 0.09270216768254419]","['주유ㆍ세차', 0.09014104704338241]","['재단ㆍ재봉', 0.0896009658906328]","['렌탈관리ㆍA/S', 0.08902820679275536]","['호텔ㆍ리조트ㆍ숙박', 0.08712438272956455]","['CADㆍCAMㆍ인테리어디자인', 0.08576580309308929]","['프로그래머', 0.08318239378469751]","['캐릭터ㆍ애니메이션디자인', 0.07903975903784663]","['피팅모델', 0.07437402200332975]","['디자인 기타', 0.0706211345650267]"
1,ENFP,"['유통ㆍ판매?기타', 0.44880948829597617]","['실험ㆍ연구보조', 0.42199079984084603]","['일반영업ㆍ판매', 0.41775688202813566]","['의류ㆍ잡화매장', 0.39109528676385996]","['오락실ㆍ게임장', 0.3908946113453466]","['가구ㆍ침구ㆍ생활소품', 0.38785433961116966]","['컴퓨터ㆍ정보통신', 0.38754790060282773]","['화물ㆍ중장비ㆍ특수차', 0.38320964972063076]","['복합쇼핑몰ㆍ아울렛', 0.36930984518033644]","['PCㆍ디지털기기?설치ㆍ관리', 0.3544657613954411]","['공인중개', 0.3527459307093016]","['방문ㆍ학습지', 0.3499368251867817]","['고객상담ㆍ인바운드', 0.3495939449431327]","['매장관리ㆍ판매', 0.3483788632831252]","['전단지배포', 0.34762167781721576]","['조선소', 0.3464530561520273]","['번역ㆍ통역', 0.34624113030705383]","['스터디룸ㆍ독서실ㆍ고시원', 0.3460292063841616]","['미디어 전체', 0.34458688160868334]","['편의점', 0.3433236882094446]","['시스템ㆍ네트워크ㆍ보안', 0.3428367085695401]","['유통점ㆍ마트', 0.33344635954675905]","['생동성ㆍ임상시험', 0.33009220654241506]","['웹ㆍ모바일디자인', 0.32859987739341284]","['상하차ㆍ소화물?분류', 0.32620648759268844]","['전시ㆍ컨벤션ㆍ세미나', 0.3236259457584942]","['백화점ㆍ면세점', 0.3181059256758512]","['HTML코딩', 0.3167426457510664]","['입출고ㆍ창고관리', 0.31539062434191706]","['바이럴ㆍSNS마케팅', 0.31532177285100005]","['영화ㆍ공연', 0.3094226930124825]","['경리ㆍ회계보조', 0.3083352531730566]","['판촉도우미', 0.30024045863658416]","['인사ㆍ총무', 0.2966938399476863]","['영업관리ㆍ지원', 0.2966938399476863]","['동영상촬영ㆍ편집', 0.29554456637973026]","['주차관리ㆍ주차도우미', 0.2926837714774521]","['금융ㆍ보험영업', 0.2881212951614065]","['정비ㆍ수리ㆍ설치ㆍA/S', 0.2880432613314435]","['그래픽ㆍ편집디자인', 0.27066110057418796]","['베이커리ㆍ도넛ㆍ떡', 0.2706285668798292]","['패션ㆍ잡화디자인', 0.2690967452207305]","['PC방', 0.2624411266682918]","['문화ㆍ여가ㆍ생활?기타', 0.2624411266682918]","['대리운전ㆍ일반운전', 0.26227125721077527]","['레져스포츠?강사', 0.26193277338042437]","['유아ㆍ유치원', 0.26135485665958025]","['헤어ㆍ미용ㆍ네일샵', 0.25922107021783236]","['MD', 0.25367605286586]","['약국', 0.2530585197241548]","['신문ㆍ잡지ㆍ출판', 0.25234105726155065]","['DVDㆍ멀티방ㆍ만화카페', 0.24849045471915113]","['공사ㆍ건설현장', 0.24770740106646355]","['포장ㆍ품질검사', 0.24084887339167665]","['사이트ㆍ콘텐츠?운영', 0.24068702164470424]","['서비스?기타', 0.24038302074990586]","['PVC(닥트ㆍ배관설치)', 0.23112955790551992]","['간병ㆍ요양보호사', 0.22573212984975222]","['문서작성ㆍ자료조사', 0.22354227022193868]","['교육ㆍ강사?기타', 0.22167909714222128]","['택배ㆍ퀵서비스', 0.21682391987301194]","['배달', 0.21539043885084305]","['제조ㆍ가공ㆍ조립', 0.21308275928303338]","['조명ㆍ음향', 0.2115100611186856]","['반려동물케어', 0.20873847112343843]","['나레이터모델', 0.20328479260759863]","['원무ㆍ코디네이터', 0.20254144636501725]","['휴대폰ㆍ전자기기매장', 0.2021767096892871]","['편집ㆍ교정ㆍ교열', 0.2014732332074786]","['보조출연ㆍ방청', 0.20136698032326458]","['텔레마케팅ㆍ아웃바운드', 0.20136215981134437]","['생산ㆍ건설ㆍ노무?기타', 0.20060956002043007]","['결혼ㆍ연회ㆍ장례도우미', 0.20022284186447928]","['골프캐디', 0.1994334665811724]","['미디어 기타', 0.19821984145848018]","['택시ㆍ버스운전', 0.19808825843143343]","['화훼ㆍ꽃집', 0.19762208907006262]","['예체능?강사', 0.19710809438414623]","['운송ㆍ이사', 0.19685187710672886]","['학교ㆍ도서관ㆍ교육기관', 0.19654324680463184]","['제품ㆍ산업디자인', 0.1964263170274529]","['수의테크니션ㆍ동물보건사', 0.19395362677632463]","['재단ㆍ재봉', 0.19389124885800665]","['입시ㆍ보습학원', 0.19380600991191713]","['외국어ㆍ어학원', 0.19380600991191713]","['자격증ㆍ기술학원', 0.19380600991191713]","['국비교육기관', 0.19380600991191713]","['보조교사', 0.19234805884464484]","['청소ㆍ미화', 0.19134756783403348]","['CADㆍCAMㆍ인테리어디자인', 0.19022818094278254]","['마케팅ㆍ광고ㆍ홍보', 0.18689000836923148]","['캐릭터ㆍ애니메이션디자인', 0.18379929230375905]","['쇼핑몰ㆍ소셜커머스ㆍ홈쇼핑', 0.18023376087162726]","['키즈카페', 0.1733877011353948]","['기계ㆍ전자ㆍ전기', 0.17310808045783121]","['노래방', 0.17292129822389135]","['볼링ㆍ당구장', 0.17292129822389135]","['스크린?골프ㆍ야구', 0.17292129822389135]","['이색테마카페', 0.17292129822389135]","['보안ㆍ경비ㆍ경호', 0.17209351509954385]","['안내데스크', 0.17025678048902693]","['수행기사', 0.1700151884135022]","['이벤트ㆍ행사스텝', 0.16618216712480857]","['방송스텝ㆍ촬영보조', 0.16362010316035872]","['레스토랑', 0.15848880012302893]","['캐셔ㆍ카운터', 0.15398474940844945]","['패밀리레스토랑', 0.15349327117134554]","['패스트푸드점', 0.15017247756931584]","['치킨ㆍ피자전문점', 0.15017247756931584]","['공공기관ㆍ공기업ㆍ협회', 0.14992973099337328]","['호프ㆍ일반주점', 0.14943271517240528]","['사진촬영ㆍ편집', 0.14765185893630528]","['웹ㆍ모바일기획', 0.14474251002182015]","['설문조사ㆍ리서치', 0.1412654917601156]","['QAㆍ테스터ㆍ검증', 0.14109465201197538]","['병원ㆍ간호ㆍ연구?전체', 0.1408252856194719]","['베이비시터ㆍ가사도우미', 0.13867653832925536]","['주유ㆍ세차', 0.1330507767921621]","['피트니스ㆍ스포츠', 0.1318333400493114]","['피트니스?트레이너', 0.1318333400493114]","['급식ㆍ푸드시스템', 0.13063273681441764]","['바리스타', 0.12905582124122386]","['간호조무사ㆍ간호사', 0.1273666279839631]","['프로그래머', 0.12630651447305644]","['사무보조', 0.1247141495824709]","['복사ㆍ출력ㆍ제본', 0.1247141495824709]","['찜질방ㆍ사우나ㆍ스파', 0.12374802425330768]","['서빙', 0.12374802425330768]","['렌탈관리ㆍA/S', 0.12300097850944801]","['농수산ㆍ청과ㆍ축산', 0.12188935645148694]","['호텔ㆍ리조트ㆍ숙박', 0.12114944289053507]","['방송사ㆍ프로덕션', 0.11990226538706264]","['피팅모델', 0.11776570276937491]","['디자인 기타', 0.11412551780096176]","['놀이공원ㆍ테마파크', 0.11351871787817418]","['여행ㆍ캠프ㆍ레포츠', 0.11241962286518271]","['커피전문점', 0.10253552111064462]","['아이스크림ㆍ디저트', 0.10253552111064462]","['피부관리ㆍ마사지', 0.09986011585769448]","['외래보조ㆍ병동보조', 0.09237571327171376]","['요가ㆍ필라테스?강사', 0.08016740579177524]","['뷰티ㆍ헬스스토어', 0.07911364635771977]","['주방보조ㆍ설거지', 0.07221142382970934]","['주방장ㆍ조리사', 0.06535838666591227]","['도시락ㆍ반찬', 0.06056832635665416]","['고속도로휴게소', 0.06056832635665416]","['일반음식점', 0.05478807209730105]","['서점ㆍ문구ㆍ팬시', 0.05219911717749502]","['비서', 0.052152780275343064]"
2,ENTJ,"['문서작성ㆍ자료조사', 0.42804147215576543]","['컴퓨터ㆍ정보통신', 0.38665181648962843]","['포장ㆍ품질검사', 0.38426632667892885]","['미디어 전체', 0.3824781055161811]","['학교ㆍ도서관ㆍ교육기관', 0.3771922024749003]","['생동성ㆍ임상시험', 0.36638191869600306]","['의류ㆍ잡화매장', 0.3564854246056397]","['간병ㆍ요양보호사', 0.35458469091210604]","['생산ㆍ건설ㆍ노무?기타', 0.34970238370416024]","['정비ㆍ수리ㆍ설치ㆍA/S', 0.3460341377083847]","['예체능?강사', 0.34462292812548234]","['결혼ㆍ연회ㆍ장례도우미', 0.3429220355632569]","['수의테크니션ㆍ동물보건사', 0.34170282344303415]","['복합쇼핑몰ㆍ아울렛', 0.34160567403467273]","['입시ㆍ보습학원', 0.3415661212813128]","['외국어ㆍ어학원', 0.3415661212813128]","['자격증ㆍ기술학원', 0.3415661212813128]","['국비교육기관', 0.3415661212813128]","['반려동물케어', 0.3410161386143349]","['영화ㆍ공연', 0.32993906476767526]","['PCㆍ디지털기기?설치ㆍ관리', 0.329235537090992]","['오락실ㆍ게임장', 0.3287917249842444]","['공인중개', 0.32756187559936367]","['고객상담ㆍ인바운드', 0.3244946803146764]","['시스템ㆍ네트워크ㆍ보안', 0.31791997576914094]","['청소ㆍ미화', 0.3163217636678247]","['전시ㆍ컨벤션ㆍ세미나', 0.31137101296225106]","['이벤트ㆍ행사스텝', 0.3050752222526128]","['실험ㆍ연구보조', 0.30491673969616473]","['캐셔ㆍ카운터', 0.3038658880138894]","['일반영업ㆍ판매', 0.30319989165435646]","['사진촬영ㆍ편집', 0.2979855071553591]","['웹ㆍ모바일기획', 0.2952812323372139]","['스터디룸ㆍ독서실ㆍ고시원', 0.29303989182600293]","['설문조사ㆍ리서치', 0.2920469869358863]","['공사ㆍ건설현장', 0.2872251144321406]","['주유ㆍ세차', 0.2869040348920026]","['서비스?기타', 0.28162768057987264]","['프로그래머', 0.28066333907763424]","['사이트ㆍ콘텐츠?운영', 0.27652410764432644]","['방문ㆍ학습지', 0.27483166861933866]","['매장관리ㆍ판매', 0.2732944150543731]","['피팅모델', 0.27274654255931946]","['전단지배포', 0.2725473832628304]","['조선소', 0.2713945468541449]","['번역ㆍ통역', 0.27118549847083107]","['디자인 기타', 0.2693676826280823]","['PVC(닥트ㆍ배관설치)', 0.2690160615351543]","['사무보조', 0.26271979810458335]","['복사ㆍ출력ㆍ제본', 0.26271979810458335]","['조명ㆍ음향', 0.26159819215197183]","['베이커리ㆍ도넛ㆍ떡', 0.2594623796898667]","['나레이터모델', 0.2509868856434582]","['방송스텝ㆍ촬영보조', 0.2505912188608418]","['간호조무사ㆍ간호사', 0.2497156679400748]","['HTML코딩', 0.24606360592825374]","['DVDㆍ멀티방ㆍ만화카페', 0.24547648585423007]","['보조교사', 0.24054110847505775]","['피부관리ㆍ마사지', 0.23960234987146373]","['외래보조ㆍ병동보조', 0.23261837711672698]","['판촉도우미', 0.23118751369878757]","['제조ㆍ가공ㆍ조립', 0.23115167053119262]","['인사ㆍ총무', 0.22769246706934468]","['영업관리ㆍ지원', 0.22769246706934468]","['PC방', 0.22390895654850587]","['문화ㆍ여가ㆍ생활?기타', 0.22390895654850587]","['경리ㆍ회계보조', 0.22141859500329117]","['편집ㆍ교정ㆍ교열', 0.2199746902967636]","['텔레마케팅ㆍ아웃바운드', 0.21986773260646664]","['미디어 기타', 0.21684167235897173]","['주차관리ㆍ주차도우미', 0.21497899078912927]","['마케팅ㆍ광고ㆍ홍보', 0.21496039754758278]","['호프ㆍ일반주점', 0.21188713663899775]","['키즈카페', 0.20910242086292957]","['쇼핑몰ㆍ소셜커머스ㆍ홈쇼핑', 0.20856664562610985]","['공공기관ㆍ공기업ㆍ협회', 0.20792600457246108]","['그래픽ㆍ편집디자인', 0.2065501900399138]","['대리운전ㆍ일반운전', 0.20604965433534664]","['QAㆍ테스터ㆍ검증', 0.20194105694961276]","['금융ㆍ보험영업', 0.20072888495834754]","['가구ㆍ침구ㆍ생활소품', 0.1922405715543708]","['뷰티ㆍ헬스스토어', 0.1886090044723801]","['농수산ㆍ청과ㆍ축산', 0.18367345868372417]","['패밀리레스토랑', 0.1803576414621023]","['교육ㆍ강사?기타', 0.17684954831980876]","['레스토랑', 0.1767657675606397]","['유통ㆍ판매?기타', 0.1711308306605389]","['바리스타', 0.16860633824668356]","['유아ㆍ유치원', 0.1685661984047443]","['방송사ㆍ프로덕션', 0.1679226817034965]","['기계ㆍ전자ㆍ전기', 0.1664671750243628]","['원무ㆍ코디네이터', 0.1647811965953725]","['신문ㆍ잡지ㆍ출판', 0.15555543177615044]","['보조출연ㆍ방청', 0.15478391222418283]","['동영상촬영ㆍ편집', 0.15431350827024273]","['유통점ㆍ마트', 0.15238710773540295]","['제품ㆍ산업디자인', 0.14885695736028942]","['여행ㆍ캠프ㆍ레포츠', 0.1478489109693887]","['안내데스크', 0.14077582845512474]","['백화점ㆍ면세점', 0.1384792439953435]","['베이비시터ㆍ가사도우미', 0.13555375152376448]","['수행기사', 0.12989224543722064]","['골프캐디', 0.12132478155502127]","['렌탈관리ㆍA/S', 0.1203662477582638]","['호텔ㆍ리조트ㆍ숙박', 0.1185723344896385]","['급식ㆍ푸드시스템', 0.1121165449046964]","['편의점', 0.10578866537648311]","['비서', 0.10316695987602567]","['택시ㆍ버스운전', 0.10030525756638285]","['화훼ㆍ꽃집', 0.09984209932874046]","['운송ㆍ이사', 0.0990769236422989]","['피트니스ㆍ스포츠', 0.09891453083266452]","['피트니스?트레이너', 0.09891453083266452]","['재단ㆍ재봉', 0.09613636412868155]","['노래방', 0.09510316517977468]","['볼링ㆍ당구장', 0.09510316517977468]","['스크린?골프ㆍ야구', 0.09510316517977468]","['이색테마카페', 0.09510316517977468]","['택배ㆍ퀵서비스', 0.09487583484811636]","['보안ㆍ경비ㆍ경호', 0.09428558837292524]","['요가ㆍ필라테스?강사', 0.09394623554027799]","['배달', 0.0934405710747635]","['화물ㆍ중장비ㆍ특수차', 0.0929502585460401]","['CADㆍCAMㆍ인테리어디자인', 0.09249968246865119]","['찜질방ㆍ사우나ㆍ스파', 0.08774615141573287]","['서빙', 0.08774615141573287]","['캐릭터ㆍ애니메이션디자인', 0.0861212502743785]","['휴대폰ㆍ전자기기매장', 0.08022627620595643]","['병원ㆍ간호ㆍ연구?전체', 0.07987362549573854]","['패스트푸드점', 0.07796443964664203]","['치킨ㆍ피자전문점', 0.07796443964664203]","['놀이공원ㆍ테마파크', 0.07774807229808764]","['바이럴ㆍSNS마케팅', 0.06888768881967913]","['커피전문점', 0.061301547316282706]","['아이스크림ㆍ디저트', 0.061301547316282706]","['패션ㆍ잡화디자인', 0.04622650638820185]","['주방보조ㆍ설거지', 0.04275879585702588]","['웹ㆍ모바일디자인', 0.04024045666900516]","['상하차ㆍ소화물?분류', 0.037733094056253254]","['주방장ㆍ조리사', 0.03606788702783783]","['레져스포츠?강사', 0.03511528508980569]","['헤어ㆍ미용ㆍ네일샵', 0.03384619245305036]","['도시락ㆍ반찬', 0.03139211141887568]","['고속도로휴게소', 0.03139211141887568]","['MD', 0.0266343208297803]","['입출고ㆍ창고관리', 0.02643311905675826]","['약국', 0.02600089676284111]","['일반음식점', 0.025750819106425054]","['서점ㆍ문구ㆍ팬시', 0.023224477625788217]"
