alba_name,sub_code,job1,job_code1,job2,job_code2,job3,job_code3,job4,job_code4,job5,job_code5,job6,job_code6,job7,job_code7,job8,job_code8,job8,job_code8,job9,job_code9,job9,job_code9,job10,job_code10,job10,job_code10,job11,job_code11,job11,job_code11,job12,job_code12,job12,job_code12,job13,job_code13,job14,job_code14,job15,job_code15
찜질방ㆍ사우나ㆍ스파, 3130,접객원,1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
피트니스ㆍ스포츠, 3140,스포츠강사,421,스포츠트레이너,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공인중개, 3160,부동산중개인,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
골프캐디, 3170,캐디,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고속도로휴게소, 3180,주방보조원,1128,조리사 및 주방장,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문화ㆍ여가ㆍ생활 기타, 3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매장관리ㆍ판매, 4010,바이어(구매인),214,상점판매원,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD, 4015,마케팅전문가,1068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
캐셔ㆍ카운터, 4020,계산원 및 매표원,1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서빙, 4030,접객원,1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주방장ㆍ조리사, 4040,조리사 및 주방장,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주방보조ㆍ설거지, 4050,주방보조원,1128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
바리스타, 4060,바리스타,180,바텐더,370,소믈리에,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안내데스크, 4070,접객원,1127,사무보조원,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주차관리ㆍ주차도우미, 4090,주차관리원,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보안ㆍ경비ㆍ경호, 4095,무인경비시스템종사원,1118,경비원,358,경호원,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주유ㆍ세차, 4100,주유원,1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전단지배포, 4120,홍보도우미,419,영업원,928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청소ㆍ미화, 4130,세탁원,166,청소원,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
렌탈관리ㆍA/S, 4135,구두미화원 및 수선원,1119,가스ㆍ수도ㆍ전기 계기 검침원 및 안전점검원,1,상품대여원,1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
헤어ㆍ미용ㆍ네일샵, 4140,메이크업아티스트,293,분장사,306,미용사,1122,이용사,1121,네일아티스트,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
피부관리ㆍ마사지, 4149,피부관리사,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
